Region,State,District,Year,Quarter,Registered_user,App_opening,Latitude,Longitude
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2018,Q1,632,0,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,South Andaman,2018,Q1,5846,0,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,Nicobar,2018,Q1,262,0,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2018,Q2,911,0,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,South Andaman,2018,Q2,8143,0,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,Nicobar,2018,Q2,351,0,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2018,Q3,1208,0,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,South Andaman,2018,Q3,10474,0,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,Nicobar,2018,Q3,467,0,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2018,Q4,1553,0,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,South Andaman,2018,Q4,13133,0,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,Nicobar,2018,Q4,536,0,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2019,Q1,2013,0,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,South Andaman,2019,Q1,15961,0,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,Nicobar,2019,Q1,622,0,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2019,Q2,2417,6118,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,South Andaman,2019,Q2,18621,43569,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,Nicobar,2019,Q2,693,2953,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2019,Q3,2662,22064,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,South Andaman,2019,Q3,20518,138190,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,Nicobar,2019,Q3,751,10853,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2019,Q4,2955,26253,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,South Andaman,2019,Q4,22202,139646,11.7232031,92.70111019
